order_id,products
17,21137
34,25146
137,21903
182,None
257,13176
313,196
353,None
386,9076
414,6184
418,21903
437,37119
452,44632
474,24852
492,None
497,24852
513,None
517,24852
604,44632
680,24852
758,13176
759,20754
887,None
1161,24852
1195,24852
1304,22935
1408,22035
1513,None
1564,21137
1727,None
1789,24852
1802,13176
1809,47209
1810,13176
1867,26604
1932,21938
1962,6184
2034,None
2070,13176
2102,47626
2184,None
2247,13176
2267,None
2297,13176
2345,4210
2421,21938
2481,45007
2671,10673
2721,13176
2806,None
2887,27845
2990,24852
3013,24852
3188,47766
3221,46226
3223,None
3265,24852
3344,34969
3373,47209
3384,None
3408,23909
3507,None
3519,23723
3587,21903
3702,24964
3724,46616
3732,25659
3839,43768
3866,None
3867,24852
3870,49683
3962,None
3981,13176
4002,24852
4055,None
4065,24852
4133,5876
4144,19348
4353,13176
4372,None
4396,45007
4458,24852
4462,24852
4551,13176
4579,44632
4602,46572
4655,None
4686,None
4848,13733
4917,21903
5007,24852
5011,31683
5041,28204
5058,13712
5082,22935
5095,13176
5109,31506
5128,None
5166,24852
5216,13176
5349,None
5366,24852
5400,21137
5415,24852
5525,3873
5918,14992
5921,None
5989,47209
6067,None
6073,39322
6100,22504
6104,37687
6138,890
6222,None
6275,24852
6313,None
6346,21137
6482,None
6490,13176
6506,13176
6530,None
6533,6347
6535,24852
6645,31433
6718,432
6751,21070
6763,None
6932,24701
6967,None
7000,21137
7074,None
7125,27845
7187,None
7213,None
7298,21903
7370,None
7373,None
7387,None
7508,38768
7594,13176
7617,24852
7669,None
7671,31846
7683,13176
7736,25718
7788,46820
7837,None
7868,13176
7908,19057
7909,24852
7982,None
8030,24852
8038,47209
8041,13176
8111,None
8156,24852
8164,196
8185,47209
8188,49235
8240,None
8282,24852
8284,34969
8326,24852
8363,21137
8418,24852
8450,None
8458,43961
8514,46802
8608,47209
8795,24852
8865,13176
8876,None
8887,37158
8989,8710
9071,13176
9175,24964
9190,24852
9272,13176
9300,39275
9318,24852
9356,28204
9391,None
9427,13176
9446,22035
9503,None
9526,24852
9564,None
9824,None
10061,13176
10126,46522
10176,13176
10338,49235
10462,21137
10464,24852
10537,None
10583,24852
10600,24852
10620,21137
10772,13176
10840,13249
10849,None
10955,None
11026,13176
11044,47626
11145,24799
11224,24852
11326,5025
11408,24852
11518,21903
11549,16797
11556,None
11606,21903
11623,13176
11659,28647
11664,None
11697,None
11749,45007
11849,None
11888,24852
11943,None
11974,24852
11987,24852
11992,None
11994,27845
12054,28204
12184,24852
12187,None
12233,13176
12234,None
12253,196
12258,13176
12323,13176
12338,24852
12478,47209
12517,13176
12553,32689
12571,4605
12662,24852
12745,47626
12754,24852
12846,None
12881,47626
12891,None
12894,None
12938,13409
12948,10602
13003,None
13024,24852
13040,13176
13085,24852
13128,15134
13132,13176
13160,13176
13188,None
13195,49235
13210,27086
13241,13176
13250,None
13433,16797
13441,47626
13471,13176
13497,16797
13533,45007
13534,24852
13545,None
13557,24852
13564,None
13608,19691
13680,None
13715,None
13733,47766
13747,21903
13787,4920
13812,13176
13879,None
13936,None
13977,24852
13982,None
14003,27845
14049,21137
14098,24852
14124,47977
14232,None
14346,1940
14369,24489
14407,196
14422,None
14453,None
14484,13176
14616,17794
14697,19057
14729,9387
14750,24852
14773,13176
14817,None
14850,24852
14936,24852
14974,None
14994,12341
15028,13176
15066,None
15067,27086
15069,None
15076,24852
15094,47626
15272,5785
15286,24852
15332,None
15345,None
15375,47766
15390,None
15393,None
15400,30450
15422,47766
15447,None
15481,24184
15518,21903
15553,47766
15718,2298
15740,24852
15804,7751
15888,24852
15928,24852
15972,24852
16148,None
16160,651
16169,33000
16225,None
16258,32455
16287,13176
16295,None
16323,13176
16467,39475
16471,47626
16511,21903
16593,None
16738,5077
16806,13176
16867,44632
16880,None
16983,27548
17039,47209
17044,47209
17051,21288
17106,13176
17124,46226
17151,24852
17200,13176
17209,24852
17250,5785
17279,24852
17396,21137
17474,None
17575,1529
17751,24852
17781,24852
17795,13176
17812,24852
17889,28199
18077,21137
18113,24852
18145,13176
18146,26209
18156,21137
18213,None
18221,None
18258,None
18278,None
18294,24852
18349,49683
18362,28204
18367,20754
18383,None
18511,None
18531,47626
18542,13176
18551,None
18559,49683
18582,20940
18635,21903
18649,24852
18660,33000
18671,47766
18748,24852
18836,16797
18858,42445
18920,None
18925,37646
18937,None
18964,13176
18967,13176
18996,None
19099,None
19263,None
19292,49235
19299,None
19361,13176
19388,24852
19420,None
19438,24852
19443,13176
19506,24852
19588,47626
19619,None
19719,11365
19727,None
19759,8277
19774,24852
19786,24852
19836,46979
19883,None
19927,21903
19974,24852
20130,13176
20158,None
20220,47766
20235,21137
20345,24852
20410,None
20502,28985
20504,33810
20524,44632
20525,13176
20750,24852
20765,None
20797,42450
20801,24852
20806,None
20851,19660
20852,695
20872,24852
20894,24964
20898,39475
20975,13176
21043,19660
21103,44142
21109,13176
21121,24852
21129,47626
21194,24852
21198,24852
21227,None
21232,None
21262,40310
21279,35221
21297,24852
21309,47209
21455,5077
21517,13176
21569,19660
21591,24852
21602,12341
21611,47766
21628,13176
21882,None
21912,34969
21937,None
21941,31683
21969,None
21990,17600
22033,13176
22049,None
22058,21903
22124,24852
22159,45603
22213,47626
22240,48246
22245,13944
22249,None
22255,5258
22285,23909
22323,22935
22324,None
22336,32691
22447,21137
22453,24852
22467,47766
22503,None
22629,4605
22923,37687
22935,13176
22941,9076
22955,21927
23032,13176
23071,49235
23097,13176
23099,21903
23221,16185
23255,24852
23270,None
23281,24852
23318,7179
23367,47766
23379,27845
23392,44142
23440,None
23500,None
23528,1940
23541,13176
23547,None
23626,24852
23668,13176
23854,None
23873,24852
23877,13176
23906,24852
23910,None
24131,24852
24153,None
24185,24852
24212,8518
24223,28745
24237,15406
24265,None
24333,39275
24335,42736
24372,13176
24435,21903
24444,20995
24477,None
24494,22935
24508,196
24511,9076
24517,10673
24541,16797
24580,None
24582,24964
24590,None
24646,13176
24752,24852
24777,47626
24873,None
24883,4605
24912,14168
24950,None
25009,196
25068,None
25079,6184
25095,49235
25154,None
25164,23909
25192,5258
25205,26209
25223,40706
25254,27104
25388,None
25411,27966
25427,47766
25537,35221
25653,None
25662,None
25663,27966
25687,47766
25782,13176
25850,21903
26010,None
26180,24852
26185,13176
26282,41950
26289,21903
26301,13176
26320,33452
26383,13176
26393,None
26413,46149
26473,24852
26483,21137
26511,24852
26534,13176
26601,None
26626,None
26674,24852
26697,13176
26705,13176
26707,None
26717,10108
26720,None
26776,None
26778,None
26951,None
26979,24347
27093,10017
27095,5077
27121,21137
27125,24852
27168,None
27260,None
27317,13176
27357,24852
27364,28204
27370,24852
27373,13176
27427,45007
27486,None
27604,27845
27632,37710
27716,None
27738,47766
27798,47209
27887,None
27919,45190
27929,24852
27937,27845
27971,41950
27989,None
28033,27344
28049,24852
28089,16797
28187,27845
28211,46906
28316,24852
28363,49235
28369,8277
28467,24852
28493,None
28634,12341
